Country,Year,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
Argentina,2000,16.9,3.9,4.0,2047.0,564877556.0,15.5,11.0,18.4
Argentina,2001,21.98,12.6,3.18,2306.25,835770157.25,23.45,4.5,23.2
Argentina,2002,20.95,15.1,2.1,1190.5,778623458.5,18.9,8.5,41.0
Argentina,2003,10.0,16.5,1.3,626.0,1211429158.0,21.9,13.0,17.2
Argentina,2004,12.6,5.3,1.75,1353.0,928702111.5,23.7,0.5,43.5
Argentina,2005,14.28,9.55,2.93,1738.17,866439171.1666666,21.28,6.83,39.87
Argentina,2006,22.75,12.08,3.68,1426.75,759524025.0,34.12,9.25,46.88
Argentina,2007,7.7,19.9,1.6,918.0,203114192.0,16.9,10.0,58.7
Argentina,2008,20.76,8.8,3.2,1574.8,955282066.0,36.3,8.2,36.24
Argentina,2009,17.77,6.93,3.48,1769.33,728025145.0,22.73,6.67,46.07
Argentina,2010,15.2,7.7,2.2,1449.5,634993236.0,19.3,7.0,42.5
Argentina,2012,20.95,8.35,2.5,667.0,688300017.5,21.45,7.5,16.85
Argentina,2013,27.32,9.12,3.5,1443.0,909123895.4,24.72,8.0,30.9
Argentina,2014,26.37,14.53,3.1,2289.0,815849504.3333334,14.9,2.0,51.37
Argentina,2015,20.7,12.8,4.3,2761.0,455823356.0,50.0,3.0,19.4
Argentina,2016,14.2,12.4,3.45,1807.5,874105140.0,25.5,2.5,48.05
Argentina,2018,28.97,14.33,4.47,2085.33,531545300.6666667,39.87,5.33,43.03
Argentina,2019,19.03,6.27,2.53,1873.0,866661274.6666666,31.6,8.33,54.73
Argentina,2020,9.57,11.23,3.5,1365.67,751301180.6666666,31.9,5.33,51.2
Argentina,2021,15.93,9.87,3.0,1949.33,429658307.6666667,31.73,2.0,25.9
Argentina,2022,17.45,9.8,3.25,1415.5,821009718.0,19.75,6.5,27.6
Argentina,2023,20.63,12.28,3.57,2165.0,511798904.8333333,35.92,8.83,39.8
Australia,2000,11.93,10.47,2.27,2033.33,831776454.0,25.57,9.67,58.13
Australia,2001,18.9,9.5,3.45,1666.0,667315454.0,25.0,6.5,40.55
Australia,2002,23.02,8.9,2.9,1804.25,524479760.25,24.72,7.75,35.88
Australia,2003,22.4,13.4,3.2,2330.0,652846865.3333334,23.77,4.67,43.87
Australia,2004,14.62,7.68,2.28,1196.6,666948750.8,20.8,6.4,38.96
Australia,2005,34.4,4.0,4.8,2014.0,748486965.0,15.6,9.0,67.1
Australia,2006,20.4,1.8,3.6,773.0,174232548.0,39.6,0.0,26.3
Australia,2008,19.2,8.5,3.0,1753.5,1224480892.5,32.6,7.5,37.7
Australia,2010,21.83,3.97,3.83,2313.0,791472737.3333334,20.53,6.33,43.27
Australia,2011,18.16,12.08,3.1,1933.4,932632948.6,34.42,4.4,40.6
Australia,2012,17.05,4.65,3.85,1727.0,704103146.0,25.2,7.0,57.05
Australia,2014,27.2,2.0,3.9,589.0,761742932.0,34.8,14.0,37.2
Australia,2015,6.2,1.5,3.2,2271.0,428326345.0,49.8,6.0,17.0
Australia,2016,21.4,13.48,4.12,1347.0,687765937.5,26.5,7.25,35.0
Australia,2017,26.35,5.15,1.8,1180.0,751876856.5,10.05,3.0,37.65
Australia,2018,18.68,11.7,2.72,1254.75,1072034224.25,18.6,3.25,30.72
Australia,2019,19.96,7.36,2.82,2322.2,324317574.6,33.12,10.8,42.18
Australia,2020,20.35,9.35,3.62,1269.75,859997201.0,21.55,6.25,39.38
